"Symbol  ","Series  ","date","Prev Close  ","open","high","low","Last Price  ","close","Average Price ","volume","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","30-Dec-2024","1,221.05","1,216.40","1,223.20","1,208.10","1,211.50","1,210.70","1,214.71","88,18,766","10,71,22,29,377.50","3,08,317","53,71,141","60.91"
"RELIANCE","EQ","31-Dec-2024","1,210.70","1,208.00","1,219.10","1,206.15","1,216.40","1,215.45","1,213.08","64,05,475","7,77,03,38,353.90","1,80,916","33,53,131","52.35"
"RELIANCE","EQ","01-Jan-2025","1,215.45","1,214.85","1,226.30","1,211.60","1,222.75","1,221.25","1,221.01","58,92,590","7,19,48,99,836.45","1,38,528","27,46,921","46.62"
"RELIANCE","EQ","02-Jan-2025","1,221.25","1,221.25","1,244.45","1,220.00","1,240.55","1,241.80","1,234.32","1,54,86,276","19,11,50,27,208.35","2,71,108","97,71,015","63.09"
"RELIANCE","EQ","03-Jan-2025","1,241.80","1,243.90","1,262.05","1,235.50","1,249.85","1,251.15","1,250.34","1,55,21,102","19,40,67,15,598.75","2,77,290","90,35,649","58.22"
"RELIANCE","EQ","06-Jan-2025","1,251.15","1,253.95","1,262.00","1,215.00","1,216.25","1,218.00","1,235.67","1,48,16,766","18,30,86,52,263.95","3,17,843","88,15,355","59.50"
"RELIANCE","EQ","07-Jan-2025","1,218.00","1,222.00","1,244.50","1,221.25","1,239.95","1,240.85","1,237.63","1,00,70,505","12,46,35,97,633.45","2,16,620","63,59,466","63.15"
"RELIANCE","EQ","08-Jan-2025","1,240.85","1,249.00","1,271.05","1,245.35","1,261.35","1,265.50","1,263.24","1,93,46,579","24,43,93,45,120.55","5,31,488","1,23,39,259","63.78"
"RELIANCE","EQ","09-Jan-2025","1,265.50","1,267.00","1,269.75","1,248.05","1,256.80","1,254.75","1,257.46","1,27,94,704","16,08,88,82,554.20","3,90,501","78,66,010","61.48"
"RELIANCE","EQ","10-Jan-2025","1,254.75","1,253.85","1,256.75","1,236.00","1,245.55","1,241.90","1,245.97","81,20,332","10,11,76,85,547.70","3,40,024","51,57,757","63.52"
"RELIANCE","EQ","13-Jan-2025","1,241.90","1,230.00","1,245.25","1,226.40","1,240.75","1,239.85","1,238.10","1,37,64,861","17,04,22,74,859.85","3,98,257","97,83,488","71.08"
"RELIANCE","EQ","14-Jan-2025","1,239.85","1,244.10","1,253.35","1,227.25","1,239.00","1,238.75","1,236.46","1,30,95,266","16,19,17,65,836.20","2,78,977","80,16,799","61.22"
"RELIANCE","EQ","15-Jan-2025","1,238.75","1,244.95","1,257.00","1,241.85","1,252.00","1,252.20","1,250.11","95,78,856","11,97,46,00,753.05","2,20,174","62,44,396","65.19"
"RELIANCE","EQ","16-Jan-2025","1,252.20","1,258.90","1,275.00","1,251.30","1,275.00","1,266.45","1,262.86","1,41,17,603","17,82,84,86,685.90","2,07,451","93,06,492","65.92"
"RELIANCE","EQ","17-Jan-2025","1,266.45","1,322.25","1,326.00","1,285.00","1,300.00","1,302.35","1,300.80","2,93,66,277","38,19,97,28,794.40","5,94,018","1,56,34,926","53.24"
"RELIANCE","EQ","20-Jan-2025","1,302.35","1,316.00","1,316.00","1,300.25","1,304.00","1,305.45","1,307.82","1,40,40,244","18,36,20,47,246.70","2,80,553","1,06,32,935","75.73"
"RELIANCE","EQ","21-Jan-2025","1,305.45","1,310.50","1,313.00","1,270.20","1,277.60","1,273.70","1,284.79","1,45,62,976","18,71,03,66,859.10","3,25,783","67,49,191","46.34"
"RELIANCE","EQ","22-Jan-2025","1,273.70","1,278.30","1,282.90","1,268.70","1,278.00","1,277.10","1,276.09","1,02,73,590","13,11,00,04,094.65","2,39,816","67,18,929","65.40"
"RELIANCE","BL","23-Jan-2025","2,393.90","1,263.20","1,263.20","1,263.20","1,263.20","1,263.20","1,263.20","10,96,295","1,38,48,39,844.00","1","-","-"
"RELIANCE","EQ","23-Jan-2025","1,277.10","1,270.00","1,277.35","1,261.60","1,264.90","1,263.65","1,267.52","87,20,682","11,05,36,24,692.80","1,88,421","54,06,848","62.00"
"RELIANCE","EQ","24-Jan-2025","1,263.65","1,266.00","1,273.00","1,243.50","1,244.45","1,246.30","1,252.27","1,42,35,970","17,82,72,72,395.00","2,63,461","1,00,50,105","70.60"
"RELIANCE","EQ","27-Jan-2025","1,246.30","1,239.10","1,240.45","1,220.00","1,229.00","1,229.35","1,229.35","95,36,019","11,72,31,27,883.65","3,68,025","56,19,689","58.93"
"RELIANCE","EQ","28-Jan-2025","1,229.35","1,238.00","1,244.75","1,218.50","1,235.00","1,234.40","1,232.65","1,05,68,025","13,02,66,73,067.35","2,86,863","50,69,011","47.97"
"RELIANCE","EQ","29-Jan-2025","1,234.40","1,236.00","1,242.75","1,228.05","1,237.25","1,235.50","1,236.66","59,28,156","7,33,11,19,895.80","1,67,073","30,43,758","51.34"
"RELIANCE","EQ","30-Jan-2025","1,235.50","1,235.55","1,257.00","1,232.40","1,253.15","1,253.05","1,249.15","92,69,259","11,57,86,93,152.95","2,27,871","48,51,304","52.34"
"RELIANCE","EQ","31-Jan-2025","1,253.05","1,255.85","1,267.00","1,249.00","1,266.00","1,265.10","1,261.32","65,84,612","8,30,52,91,978.45","1,69,481","39,46,480","59.93"
"RELIANCE","EQ","01-Feb-2025","1,265.10","1,265.10","1,270.55","1,241.00","1,264.00","1,264.60","1,260.42","71,18,453","8,97,22,48,877.35","1,43,258","38,97,425","54.75"
"RELIANCE","EQ","03-Feb-2025","1,264.60","1,251.00","1,256.00","1,237.55","1,247.00","1,245.90","1,247.14","92,52,345","11,53,89,63,041.00","2,68,425","58,57,587","63.31"
"RELIANCE","EQ","04-Feb-2025","1,245.90","1,248.05","1,288.80","1,246.60","1,282.90","1,285.20","1,273.65","1,66,91,069","21,25,84,96,964.75","3,23,415","1,10,61,482","66.27"
"RELIANCE","EQ","05-Feb-2025","1,285.20","1,282.65","1,290.50","1,276.70","1,278.50","1,278.20","1,281.97","1,01,12,028","12,96,33,36,513.05","2,19,550","69,85,210","69.08"
"RELIANCE","EQ","06-Feb-2025","1,278.20","1,273.70","1,288.00","1,270.35","1,283.00","1,281.55","1,279.27","99,56,001","12,73,63,85,821.45","2,17,888","49,37,305","49.59"
"RELIANCE","EQ","07-Feb-2025","1,281.55","1,276.15","1,283.70","1,262.00","1,266.50","1,266.70","1,270.98","87,64,283","11,13,92,40,963.05","1,74,531","55,91,594","63.80"
"RELIANCE","EQ","10-Feb-2025","1,266.70","1,264.50","1,266.50","1,245.55","1,254.65","1,253.65","1,251.52","69,70,972","8,72,42,86,360.55","1,73,316","41,94,326","60.17"
"RELIANCE","EQ","11-Feb-2025","1,253.65","1,264.55","1,264.55","1,230.10","1,237.55","1,234.85","1,244.26","88,59,714","11,02,37,57,522.95","2,40,683","39,30,056","44.36"
"RELIANCE","EQ","12-Feb-2025","1,234.85","1,219.45","1,226.90","1,193.35","1,217.05","1,216.55","1,211.39","2,11,31,654","25,59,86,19,531.25","4,04,276","1,19,59,395","56.59"
"RELIANCE","EQ","13-Feb-2025","1,216.55","1,217.05","1,228.00","1,212.00","1,216.20","1,216.10","1,219.60","85,11,216","10,38,02,76,762.25","2,66,249","42,74,015","50.22"
"RELIANCE","EQ","14-Feb-2025","1,216.10","1,219.00","1,224.00","1,205.45","1,214.75","1,217.25","1,215.10","1,02,98,145","12,51,32,77,266.75","2,02,314","66,13,749","64.22"
"RELIANCE","EQ","17-Feb-2025","1,217.25","1,211.10","1,227.50","1,204.50","1,225.45","1,224.90","1,219.62","81,66,683","9,96,02,41,446.85","2,20,670","44,47,866","54.46"
"RELIANCE","EQ","18-Feb-2025","1,224.90","1,224.85","1,229.90","1,216.10","1,223.95","1,225.40","1,223.94","66,73,250","8,16,76,61,853.95","1,81,273","36,55,419","54.78"
"RELIANCE","EQ","19-Feb-2025","1,225.40","1,219.50","1,232.75","1,217.55","1,226.30","1,227.45","1,226.67","62,17,338","7,62,66,01,753.25","1,78,165","34,46,716","55.44"
"RELIANCE","EQ","20-Feb-2025","1,227.45","1,223.95","1,239.35","1,222.00","1,232.00","1,233.00","1,233.94","77,95,582","9,61,92,77,166.50","1,62,561","54,39,316","69.77"
